hvac_power,indoor_temperature,outdoor_temperature,humidity,beam_solar_rad,setpoint_change,day_of_week_sin,day_of_week_cos,hour_of_day_sin,hour_of_day_cos,timestamp_lag_1,hvac_power_lag_1,indoor_temperature_lag_1,timestamp_lag_2,hvac_power_lag_2,indoor_temperature_lag_2,timestamp_lag_3,hvac_power_lag_3,indoor_temperature_lag_3,timestamp_lag_4,hvac_power_lag_4,indoor_temperature_lag_4
1.4047421682908956,19.997016910685996,-3.0250000000000004,66.0,310.0,-1.0,0.8660254037844386,0.5000000000000001,-0.2588190451025208,-0.9659258262890683,45.0,1.404107360342023,20.00079763699764,30.0,1.4023120425769893,20.000032165904365,15.0,1.4005314032120912,20.000012974713993,0.0,1.398765181311076,19.999988226713626
1.3866239584967095,19.999459839314987,-2.95,66.0,335.0,-1.0,0.8660254037844386,0.5000000000000001,-0.2588190451025208,-0.9659258262890683,45.0,1.4047421682908956,19.997016910685996,30.0,1.404107360342023,20.00079763699764,15.0,1.4023120425769893,20.000032165904365,0.0,1.4005314032120912,20.000012974713993
1.380438713063867,19.999993829090876,-2.8749999999999996,66.0,332.5,-1.0,0.8660254037844386,0.5000000000000001,-0.2588190451025208,-0.9659258262890683,45.0,1.3866239584967095,19.999459839314987,30.0,1.4047421682908956,19.997016910685996,15.0,1.404107360342023,20.00079763699764,0.0,1.4023120425769893,20.000032165904365
1.374694918105143,19.999836726090297,-2.8,66.0,330.0,-1.0,0.8660254037844386,0.5000000000000001,-0.2588190451025208,-0.9659258262890683,45.0,1.380438713063867,19.999993829090876,30.0,1.3866239584967095,19.999459839314987,15.0,1.4047421682908956,19.997016910685996,0.0,1.404107360342023,20.00079763699764
1.2819500786738076,20.00019112979319,-2.675,66.25,327.5,-1.0,0.8660254037844386,0.5000000000000001,-0.4999999999999998,-0.8660254037844388,45.0,1.374694918105143,19.999836726090297,30.0,1.380438713063867,19.999993829090876,15.0,1.3866239584967095,19.999459839314987,0.0,1.4047421682908956,19.997016910685996
1.248436142718902,20.000748344032313,-2.55,66.5,325.0,-1.0,0.8660254037844386,0.5000000000000001,-0.4999999999999998,-0.8660254037844388,45.0,1.2819500786738076,20.00019112979319,30.0,1.374694918105143,19.999836726090297,15.0,1.380438713063867,19.999993829090876,0.0,1.3866239584967095,19.999459839314987
1.2134305063309134,20.003686597558506,-2.425,66.75,278.0,-1.0,0.8660254037844386,0.5000000000000001,-0.4999999999999998,-0.8660254037844388,45.0,1.248436142718902,20.000748344032313,30.0,1.2819500786738076,20.00019112979319,15.0,1.374694918105143,19.999836726090297,0.0,1.380438713063867,19.999993829090876
1.170325090095263,20.000320689679544,-2.3,67.0,231.0,-1.0,0.8660254037844386,0.5000000000000001,-0.4999999999999998,-0.8660254037844388,45.0,1.2134305063309134,20.003686597558506,30.0,1.248436142718902,20.000748344032313,15.0,1.2819500786738076,20.00019112979319,0.0,1.374694918105143,19.999836726090297
1.1999073039822714,20.001125439922994,-2.2249999999999996,67.5,184.0,-1.0,0.8660254037844386,0.5000000000000001,-0.7071067811865471,-0.7071067811865479,45.0,1.170325090095263,20.000320689679544,30.0,1.2134305063309134,20.003686597558506,15.0,1.248436142718902,20.000748344032313,0.0,1.2819500786738076,20.00019112979319
1.4069103507548517,20.002603206228308,-2.15,68.0,137.0,-1.0,0.8660254037844386,0.5000000000000001,-0.7071067811865471,-0.7071067811865479,45.0,1.1999073039822714,20.001125439922994,30.0,1.170325090095263,20.000320689679544,15.0,1.2134305063309134,20.003686597558506,0.0,1.248436142718902,20.000748344032313
1.4062171723636392,20.000903281979916,-2.075,68.5,102.75,-1.0,0.8660254037844386,0.5000000000000001,-0.7071067811865471,-0.7071067811865479,45.0,1.4069103507548517,20.002603206228308,30.0,1.1999073039822714,20.001125439922994,15.0,1.170325090095263,20.000320689679544,0.0,1.2134305063309134,20.003686597558506
1.4055079502421561,20.000647786489264,-2.0,69.0,68.5,-1.0,0.8660254037844386,0.5000000000000001,-0.7071067811865471,-0.7071067811865479,45.0,1.4062171723636392,20.000903281979916,30.0,1.4069103507548517,20.002603206228308,15.0,1.1999073039822714,20.001125439922994,0.0,1.170325090095263,20.000320689679544
1.4031555254189247,20.000749720669127,-1.975,70.0,34.25,-1.0,0.8660254037844386,0.5000000000000001,-0.8660254037844384,-0.5000000000000004,45.0,1.4055079502421561,20.000647786489264,30.0,1.4062171723636392,20.000903281979916,15.0,1.4069103507548517,20.002603206228308,0.0,1.1999073039822714,20.001125439922994
1.400802755273601,20.000560506962664,-1.95,71.0,0.0,-1.0,0.8660254037844386,0.5000000000000001,-0.8660254037844384,-0.5000000000000004,45.0,1.4031555254189247,20.000749720669127,30.0,1.4055079502421561,20.000647786489264,15.0,1.4062171723636392,20.000903281979916,0.0,1.4069103507548517,20.002603206228308
1.3984496701163787,20.00055742002305,-1.9249999999999998,72.0,0.0,-1.0,0.8660254037844386,0.5000000000000001,-0.8660254037844384,-0.5000000000000004,45.0,1.400802755273601,20.000560506962664,30.0,1.4031555254189247,20.000749720669127,15.0,1.4055079502421561,20.000647786489264,0.0,1.4062171723636392,20.000903281979916
1.3960963037320848,20.00044483969755,-1.9,73.0,0.0,-1.0,0.8660254037844386,0.5000000000000001,-0.8660254037844384,-0.5000000000000004,45.0,1.3984496701163787,20.00055742002305,30.0,1.400802755273601,20.000560506962664,15.0,1.4031555254189247,20.000749720669127,0.0,1.4055079502421561,20.000647786489264
1.3949986038234168,20.00008075030702,-1.8749999999999998,73.5,0.0,-1.0,0.8660254037844386,0.5000000000000001,-0.9659258262890683,-0.25881904510252063,45.0,1.3960963037320848,20.00044483969755,30.0,1.3984496701163787,20.00055742002305,15.0,1.400802755273601,20.000560506962664,0.0,1.4031555254189247,20.000749720669127
