,power_predictions,power_schedule,slacked_power_schedule,power,temperature_predictions,temperature,actions
29,1.3495762887936906,0.0,0.0,1.3487206640651774,20.918801854981194,20.999850630159884,0.0
30,1.3613214682751078,0.0,0.0,1.3474569845485855,21.056945213441875,20.9998606332513,0.0
31,1.3548691960458423,0.0,0.0,1.3461874824213416,20.929114497411668,21.000034721252717,0.0
32,1.3596175296228143,0.0,0.0,1.3449117331210083,21.06010994138871,21.00003333756753,0.0
33,1.3522895005752822,0.0,0.0,1.3436293078260326,20.918422471035594,20.999945962095435,0.0
34,1.366618045174881,0.0,0.0,1.3455385546455494,21.055027186275687,20.999945198479026,0.0
35,1.3618592260020546,0.0,0.0,1.3474600571450863,20.941354261820294,21.000463322714083,0.0
36,1.367087422305427,0.0,0.0,1.349393923427339,21.04690212004018,21.000100134320945,0.0
37,1.3643995359660832,0.0,0.0,1.3513402783303143,20.960795965153096,21.00003521530069,0.0
38,1.3738098046653624,0.0,0.0,1.3514131202928823,21.048863527953518,21.000035024085435,0.0
39,1.3724695527594326,0.0,0.0,1.3514798614922574,21.02324076220342,21.000033088606326,0.0
40,1.373194958804977,0.0,0.0,1.3515404920026268,21.052929299479747,20.99943326935591,0.0
41,1.3728454452810896,0.0,0.0,1.3515950045918255,21.02627136805603,20.999846294447753,0.0
42,1.3773719728806713,0.0,0.0,1.3530992662375447,21.059243524526522,20.999906185858762,0.0
43,1.3787581168259686,0.0,0.0,1.3546117085961564,21.07977678207735,20.99991496712546,0.0
44,1.3780243456558638,0.0,0.0,1.3561323996073205,21.058551712614133,20.99982917841268,0.0
45,1.3817555275395847,0.0,0.0,1.3576614048817828,21.072667126280137,20.9998485783607,0.0
46,1.3813432844243856,0.0,0.0,1.3589947392500732,21.051607092757525,20.999883296897355,0.0
47,1.3853423436826229,0.0,0.0,1.3603311743859976,21.080206036300822,21.000062155104484,0.0
48,1.3817513382590243,0.0,0.0,1.3616707211187438,21.052749882781733,21.00058932996577,0.0
49,1.3866250727663245,0.0,0.0,1.3630133903279864,21.067037650806224,21.000052699920303,0.0
50,1.3864246986696038,0.0,0.0,1.3647907004146416,21.069903721851997,20.999906516393978,0.0
51,1.3876513399266108,0.0,0.0,1.3665809470969397,21.072876725436263,20.999882529291387,0.0
52,1.3875221837567753,0.0,0.0,1.3683843067243653,21.082618612957575,20.999869066826285,0.0
53,1.3889945732813298,0.0,0.0,1.3702009576552208,21.069205287092846,20.99987523264177,0.0
54,1.3901860970655324,0.0,0.0,1.3697580211388485,21.100789902133833,20.999808254838367,0.0
55,1.3838649422132114,0.0,0.0,1.3693128146126434,21.102904246076825,20.999790915054337,0.0
56,1.389592631073492,0.0,0.0,1.3688653180588515,21.102993973573664,20.998956306230074,0.0
57,1.3837761673565863,0.0,0.0,1.3684155113069498,21.09884613404419,20.99957223851705,0.0
58,1.3879651260773,0.0,0.0,1.3675088844582457,21.112391558377357,20.99972612747291,0.0
59,1.3779805115147212,0.0,0.0,1.3665927722572129,21.12665201012073,20.999736314455635,0.0
60,1.3866603254441703,0.0,0.0,1.3656670025879138,21.11194644498417,20.99974025599545,0.0
61,1.3763536837228787,0.0,0.0,1.3647314166236644,21.122148327767967,20.999838441722712,0.0
62,1.382630745537517,0.0,0.0,1.3600730171743494,21.106600222648595,21.000554625130956,0.0
63,1.3699194903907368,0.0,0.0,1.3554932606168322,21.145884083514826,21.00000812511555,0.0
64,1.3776333396464833,0.0,0.0,1.3509879806407876,21.07363768721162,20.999936169372713,0.0
65,1.3628008256500437,0.0,0.0,1.346553099176201,21.17444138703949,20.99994406377037,0.0
66,1.365345294668421,0.0,0.0,1.344546033637146,21.069373979033557,21.00005382598651,0.0
67,1.3563313272757558,0.0,0.0,1.3425140453509337,21.213287131300067,20.999988617736314,0.0
68,1.3607388876582538,0.0,0.0,1.340455853786896,21.059223140662393,20.99998564055559,0.0
69,1.351119292490353,0.0,0.0,1.338370172032759,21.225156708559943,20.99999439139198,0.0
70,1.349667296626408,0.0,0.0,1.3346505504817927,21.06298444000892,20.999238429665766,0.0
71,1.3402285874494333,0.0,0.0,1.3309248935535805,21.23863793226755,20.999811529961846,0.0
72,1.3408577312019427,0.0,0.0,1.327188983678494,21.04401477225325,20.999922707462375,0.0
73,1.334083207789404,0.0,0.0,1.3234385805505477,21.251960533331626,20.999950584628227,0.0
74,1.3275935830892414,2.5,2.25,1.3239254679991745,21.052401629005846,20.999815763619893,0.0
75,1.3297029285010966,2.5,2.25,1.3244007067853267,21.241669426718463,20.99977958538881,0.0
76,1.3288691509012402,2.5,2.25,1.3248642639326147,21.05929226532647,20.999770620795704,0.0
77,1.328779451364193,2.5,2.25,1.3253161302879115,21.240242148573124,20.999766370682106,0.0
78,1.3195470262718663,2.5,2.25,1.3217344174799295,21.065278139054232,20.999812208702053,0.0
79,1.324713655970556,2.5,2.25,1.3181132381981768,21.198401807582165,20.999986275594235,0.0
80,1.3114544538121458,2.5,2.25,1.3144486939143223,21.04443490322936,21.000547977248484,0.0
81,1.3199671506581574,2.5,2.25,1.3107368728669082,21.187654364734957,20.99997697239241,0.0
82,1.30209237312516,2.5,2.25,1.3069521074001822,21.01201837810549,20.99995617295091,0.0
83,1.3132293043896774,2.5,2.25,1.3030782159694752,21.11212845697444,20.999945961403686,0.0
84,1.2949298155809958,2.5,2.25,1.299110276269057,20.983653847209418,20.999749114731333,0.0
